packet_len,time,eth_type,ip_len,ip_ttl,ip_proto,ip_flags,ip_frag,ip_tos,ip_id,has_ip,icmp_type,icmp_code,proto_type,has_tcp,has_udp,has_icmp,is_syn,is_ack,is_fin,is_rst,is_web,is_ssh,is_dns,tcp_sport,tcp_dport,tcp_flags,tcp_window,tcp_urgptr,udp_sport,udp_dport,udp_len
98,1782455371.070686,2048,84,64,1,DF,0,0,48056,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455371.130149,2048,84,255,1,DF,0,0,81,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455372.074319,2048,84,64,1,DF,0,0,48109,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455372.129674,2048,84,255,1,DF,0,0,82,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455373.078794,2048,84,64,1,DF,0,0,48318,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455373.129631,2048,84,255,1,DF,0,0,83,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455374.082542,2048,84,64,1,DF,0,0,48420,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455374.153426,2048,84,255,1,DF,0,0,84,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455375.086336,2048,84,64,1,DF,0,0,48519,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455375.156417,2048,84,255,1,DF,0,0,85,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455376.091223,2048,84,64,1,DF,0,0,48715,1,8,0,ICMP,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1782455376.154804,2048,84,255,1,DF,0,0,86,1,0,0,ICMP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
